year, district, line_num, ginkgo, sycamore, zelkova, cherry, silver_maple, metasequoia, locust, ailanthus, persimmon, weeping_willow, tulip_poplar, horse_chestnut, poplar, elm, apricot, rose_of_sharon, pine, magnolia, retusa_fringetree, etc
2014, 성동구,35,1158,2723,1911,386,29,49,440,34,151,0,0,1,3,61,0,0,53,0,297,320
2014, 광진구,27,1693,2788,973,549,2,0,203,0,25,0,75,64,0,0,0,0,20,113,264,419
2014, 동대문구,42,3772,3899,867,458,0,87,152,9,37,7,44,19,0,1,27,1,0,0,403,483
2014, 중랑구,50,2933,2883,331,249,57,230,1,0,52,0,0,82,0,0,0,0,6,0,167,1159
2014, 성북구,62,2990,1570,806,1480,68,66,38,5,93,0,4,0,0,0,9,5,117,0,447,641
2014, 강북구,62,3192,993,98,337,304,0,133,0,0,0,5,0,0,151,0,0,795,0,369,115
2014, 도봉구,62,4993,603,788,1941,6,61,32,0,0,1,18,0,0,0,0,236,15,0,46,749
2014, 노원구,50,6540,3506,1133,1497,0,280,41,0,1,0,0,0,0,26,58,150,32,1,132,1072
2014, 은평구,34,4255,1923,950,2087,0,17,297,7,8,0,0,16,0,0,0,29,4,0,545,1072
2014, 서대문구,28,3568,2029,549,600,0,25,84,0,4,0,11,5,4,0,0,0,0,0,340,953
2014, 마포구,62,3373,3719,3006,880,0,474,1003,0,126,0,0,0,0,0,64,0,123,93,1148,348
2014, 양천구,62,5626,4034,1037,914,0,74,170,0,36,0,0,4,0,0,0,0,0,0,748,95
2014, 강서구,40,4127,587,939,1969,0,1670,213,0,0,0,0,0,0,0,0,0,253,0,399,77
2014, 구로구,79,3628,1698,1716,1836,14,3,0,0,0,5,0,0,0,0,0,0,4,0,1021,67
2014, 금천구,27,3752,1072,353,1092,0,32,180,0,28,0,0,7,0,0,0,0,0,0,157,18
2014, 영등포구,99,6016,3686,3092,2582,213,53,111,0,60,0,0,189,0,0,0,0,0,0,461,180
2014, 동작구,42,2166,931,1112,730,0,96,9,0,0,0,0,0,0,0,0,0,0,0,394,130
2014, 관악구,29,2285,2375,186,2216,0,67,102,0,253,0,0,0,0,0,0,0,75,0,38,231
2014, 서초구,50,3792,5952,2945,255,0,1163,473,11,0,0,0,745,0,0,0,0,0,0,168,642
2014, 강남구,57,8106,8034,2370,1300,0,868,517,0,0,0,56,0,0,0,0,0,0,0,240,80
2014, 송파구,97,12787,4564,2200,931,0,14,0,0,0,11,629,329,0,0,1,0,127,0,619,290
2014, 강동구,62,5729,5328,2212,1343,0,0,55,0,0,0,0,0,0,0,0,0,0,0,418,124
